Date,Enhancement_ppm,Latitude,Longitude,Level,wd_corr,ws_corr
2019-07-24 13:53:52.900,0.04,43.66306833333334,-79.402435,1,246.6,0.9
2019-07-24 13:54:24.900,0.04,43.66266666666667,-79.40431666666667,0,227.8,2.4
2019-07-24 13:58:56.000,0.05,43.659803333333336,-79.41840166666667,1,278.4,2.1
2019-07-24 14:00:10.000,0.04,43.65930833333334,-79.42195,1,340.4,2.6
2019-07-24 14:01:44.000,0.04,43.66215666666667,-79.42308166666666,1,287.9,0.3
2019-07-24 14:05:37.000,0.03,43.6684,-79.42566333333333,0,16.4,1.1
2019-07-24 14:06:20.000,0.05,43.669563333333336,-79.42615833333333,1,347.0,0.4
2019-07-24 14:11:06.000,0.11,43.669815,-79.43252333333334,1,272.1,2.2
2019-07-24 14:19:52.000,0.05,43.65883166666666,-79.44284666666667,1,341.6,1.9
2019-07-24 14:19:57.100,0.05,43.65900166666667,-79.44291666666666,1,4.5,4.3
2019-07-24 14:27:24.100,0.05,43.66561666666666,-79.45123000000002,1,226.2,1.6
2019-07-24 14:35:28.100,0.03,43.65107666666667,-79.443825,0,300.3,2.2
2019-07-24 14:35:50.100,0.03,43.651920000000004,-79.44474833333334,0,220.8,0.3
2019-07-24 14:45:25.100,0.11,43.66435,-79.45776,1,259.7,1.1
2019-07-24 14:46:05.100,0.04,43.66458,-79.458525,1,337.1,0.7
2019-07-24 14:57:08.100,0.02,43.65681833333333,-79.45273833333333,0,308.2,1.1
2019-07-24 15:01:18.100,0.03,43.65457833333333,-79.45207166666667,0,107.7,0.5
2019-07-24 15:02:22.100,0.02,43.65293166666667,-79.44991999999998,0,68.8,0.9
2019-07-24 15:03:49.100,0.12,43.65168,-79.44714333333333,1,321.0,1.9
2019-07-24 15:08:37.200,0.06,43.64612833333333,-79.44015999999998,1,233.4,1.2
2019-07-24 15:11:23.200,0.11,43.64074333333333,-79.43828833333333,2,241.8,1.3
2019-07-24 15:23:36.300,0.09,43.64901,-79.44969666666667,1,51.8,1.4
2019-07-24 15:24:36.300,0.04,43.650395,-79.45002166666667,1,287.4,0.4
2019-07-24 15:25:12.300,0.04,43.65124666666666,-79.45034333333334,1,61.6,0.8
2019-07-24 15:27:09.200,0.04,43.64846166666667,-79.44993000000002,1,155.6,5.0
2019-07-24 15:28:32.200,0.04,43.64539666666667,-79.44873166666666,0,154.6,2.9
2019-07-24 15:29:59.200,0.02,43.642115000000004,-79.44746333333333,0,156.9,3.1
2019-07-24 15:35:59.300,0.02,43.64149666666667,-79.44721333333334,0,135.2,0.6
2019-07-24 15:38:00.300,0.07,43.64264333333333,-79.450005,1,292.9,1.6
2019-07-24 15:41:09.400,0.04,43.64764666666667,-79.45201333333333,0,271.0,1.5
2019-07-24 15:41:54.400,0.04,43.64877333333333,-79.45244166666667,0,206.7,1.1
2019-07-24 15:42:47.400,0.03,43.64945,-79.45280333333334,0,231.9,1.9
2019-07-24 15:44:44.300,0.04,43.65087833333333,-79.45339,1,153.3,1.8
2019-07-24 15:49:44.400,0.41,43.65244333333333,-79.45889166666667,2,181.6,1.1
2019-07-24 16:21:08.500,0.36,43.65112333333333,-79.45837833333333,2,237.4,1.4
2019-07-24 15:55:50.400,0.31,43.65096833333333,-79.45908833333333,2,113.5,1.8
2019-07-24 16:24:58.600,0.04,43.64902333333333,-79.45459166666667,1,174.1,2.9
2019-07-24 16:25:09.600,0.05,43.648425,-79.454475,1,165.7,2.3
2019-07-24 16:25:26.600,0.05,43.647565,-79.45436166666667,1,127.2,1.7
2019-07-24 16:28:13.600,0.08,43.64097833333334,-79.45343166666666,1,144.5,2.8
2019-07-24 16:30:13.600,0.03,43.64171500000001,-79.450295,0,258.3,3.5
2019-07-24 16:31:00.600,0.04,43.64151,-79.44937666666667,1,233.5,0.7
2019-07-24 16:37:43.600,0.05,43.642635,-79.43770166666667,1,191.0,1.0
2019-07-24 16:38:08.600,0.04,43.64264666666666,-79.43753333333333,0,330.8,2.4
2019-07-24 16:41:46.600,0.1,43.645915,-79.43405833333334,1,24.8,0.8
2019-07-24 16:46:04.600,0.05,43.65140833333334,-79.436155,1,191.2,2.6
2019-07-24 16:51:37.700,0.05,43.65389166666667,-79.42493,1,250.4,1.5
2019-07-24 16:53:24.700,0.06,43.65490333333333,-79.420005,1,64.6,1.1
2019-07-24 16:54:31.700,0.18,43.65514666666667,-79.41711666666667,1,277.7,1.2
2019-07-24 16:56:16.700,0.04,43.65532,-79.41331166666667,0,284.0,1.2
2019-07-24 16:58:43.700,0.05,43.65665,-79.40657166666666,1,273.4,0.8
2019-07-24 17:01:04.700,0.07,43.65793166666667,-79.40030166666666,1,54.5,2.3
